Código,Ação,Tipo,Qtde. Teórica,Part. (%)
ALOS3,ALLOS,ON NM,502.481.592,0.0052
ALPA4,ALPARGATAS,PN N1,166.460.180,0.00054
ABEV3,AMBEV S/A,ON,4.394.835.131,0.02624
ASAI3,ASSAI,ON NM,1.349.687.675,0.00542
AURE3,AUREN,ON NM,291.727.616,0.00147
AZUL4,AZUL,PN ATZ N2,328.421.113,0.00063
AZZA3,AZZAS 2154,ON NM,127.330.493,0.00273
B3SA3,B3,ON NM,5.511.401.013,0.03092
BBSE3,BBSEGURIDADE,ON NM,637.332.335,0.01053
BBDC3,BRADESCO,ON EJ N1,1.484.426.957,0.00954
BBDC4,BRADESCO,PN EJ N1,5.129.958.973,0.03655
BRAP4,BRADESPAR,PN N1,250.969.312,0.00208
BBAS3,BRASIL,ON NM,2.842.613.858,0.03679
BRKM5,BRASKEM,PNA N1,265.388.400,0.00211
BRAV3,BRAVA,ON NM,463.981.130,0.00449
BRFS3,BRF SA,ON NM,814.523.002,0.00905
BPAC11,BTGP BANCO,UNT N2,1.287.247.964,0.02049
CXSE3,CAIXA SEGURI,ON NM,517.500.000,0.00362
CRFB3,CARREFOUR BR,ON NM,531.901.983,0.00217
CCRO3,CCR SA,ON NM,991.920.937,0.00584
CMIG4,CEMIG,PN N1,1.858.636.840,0.00988
COGN3,COGNA ON,ON NM,1.872.454.628,0.00113
CPLE6,COPEL,PNB N2,1.679.233.590,0.0082
CSAN3,COSAN,ON NM,1.165.337.843,0.00657
CPFE3,CPFL ENERGIA,ON NM,187.732.538,0.0029
CMIN3,CSNMINERACAO,ON N2,1.110.559.345,0.00298
CVCB3,CVC BRASIL,ON NM,525.591.097,0.00043
CYRE3,CYRELA REALT,ON NM,264.710.610,0.00256
ELET3,ELETROBRAS,ON N1,1.780.013.881,0.03342
ELET6,ELETROBRAS,PNB N1,268.733.136,0.00559
EMBR3,EMBRAER,ON NM,734.632.601,0.0161
ENGI11,ENERGISA,UNT N2,326.175.300,0.00704
ENEV3,ENEVA,ON NM,1.579.821.370,0.00983
EGIE3,ENGIE BRASIL,ON NM,255.236.938,0.00512
EQTL3,EQUATORIAL,ON NM,1.244.602.400,0.01937
EZTC3,EZTEC,ON NM,97.334.950,0.0006
FLRY3,FLEURY,ON NM,464.420.650,0.00345
GGBR4,GERDAU,PN N1,1.242.683.687,0.01036
GOAU4,GERDAU MET,PN N1,661.577.619,0.00317
NTCO3,GRUPO NATURA,ON NM,849.350.756,0.00522
HAPV3,HAPVIDA,ON NM,4.779.395.040,0.00974
HYPE3,HYPERA,ON NM,409.310.634,0.00523
IGTI11,IGUATEMI S.A,UNT N1,211.468.849,0.00209
IRBR3,IRBBRASIL RE,ON NM,81.838.243,0.00178
ITSA4,ITAUSA,PN EJ N1,5.504.638.590,0.02788
ITUB4,ITAUUNIBANCO,PN EJ N1,4.455.161.368,0.07497
JBSS3,JBS,ON NM,1.142.696.472,0.01763
KLBN11,KLABIN S/A,UNT N2,765.785.673,0.0076
RENT3,LOCALIZA,ON NM,977.700.485,0.01852
LREN3,LOJAS RENNER,ON NM,952.487.418,0.00759
LWSA3,LWSA,ON NM,420.626.825,0.00083
MGLU3,MAGAZ LUIZA,ON NM,353.448.195,0.00181
MRFG3,MARFRIG,ON NM,302.019.876,0.00197
BEEF3,MINERVA,ON NM,261.359.935,0.00083
MRVE3,MRV,ON NM,375.335.828,0.00131
MULT3,MULTIPLAN,ON N2,318.010.631,0.0038
PCAR3,P.ACUCAR-CBD,ON NM,379.327.171,0.00051
PETR3,PETROBRAS,ON N2,2.448.348.744,0.04504
PETR4,PETROBRAS,PN N2,4.431.132.660,0.0746
RECV3,PETRORECSA,ON NM,275.699.226,0.00235
PRIO3,PETRORIO,ON NM,798.909.771,0.01521
PETZ3,PETZ,ON NM,307.729.428,0.00065
RADL3,RAIADROGASIL,ON NM,1.279.770.315,0.01566
RAIZ4,RAIZEN,PN N2,1.192.947.233,0.00159
RDOR3,REDE D OR,ON NM,1.145.289.019,0.01732
RAIL3,RUMO S.A.,ON NM,1.215.994.115,0.01185
SBSP3,SABESP,ON NM,683.508.570,0.02967
SANB11,SANTANDER BR,UNT,356.586.730,0.00502
STBP3,SANTOS BRP,ON NM,855.712.622,0.00519
SMTO3,SAO MARTINHO,ON NM,142.348.116,0.00166
CSNA3,SID NACIONAL,ON,736.268.400,0.00373
SLCE3,SLC AGRICOLA,ON NM,194.261.422,0.00151
SUZB3,SUZANO S.A.,ON NM,630.821.784,0.0157
TAEE11,TAESA,UNT N2,218.568.234,0.0035
VIVT3,TELEF BRASIL,ON,407.257.128,0.00999
TIMS3,TIM,ON NM,807.495.418,0.00664
TOTS3,TOTVS,ON NM,540.206.440,0.00714
TRPL4,TRAN PAULIST,PN N1,395.801.044,0.00441
UGPA3,ULTRAPAR,ON NM,1.090.134.379,0.01124
USIM5,USIMINAS,PNA N1,515.193.199,0.00134
VALE3,VALE,ON NM,4.270.903.023,0.10787
VAMO3,VAMOS,ON NM,485.166.826,0.00162
VBBR3,VIBRA,ON NM,1.023.392.529,0.01193
VIVA3,VIVARA S.A.,ON NM,125.823.025,0.00161
WEGE3,WEG,ON NM,1.269.032.828,0.03027
YDUQ3,YDUQS PART,ON NM,290.010.465,0.00127
